ID venda,Data,Canal,Tipo_pagamento,Estado,Cidade,Produto,Quantidade,Valor_Unitario,Custo_Unitario,Categoria_Produto,ID_Parceiro,ID_Cliente,Genero_Cliente,Data_Nascimento_Cliente,Feedback_Cliente,Status_Entrega,Cupom_Utilizado,Flag_Primeira_Compra
VND00018,2025-03-02 12:42:05,Ecomm mono,mooz cartões,BA,Camaçari,Cuide-se Bem Loção Corporal Deleite 200ml,4,78.9,24.0,Cuidados e Corpo,,CLI0279,Não-binário,1972-10-17,,Entregue no Prazo,,Não
VND00019,2024-12-31 20:22:15,VD,outros meios de pagamento,SP,Piracicaba,Malbec Gold Desodorante Colônia 100ml,3,195.9,78.0,Perfumaria Masculina,REV0097,,,,,,,
VND00020,2026-04-10 12:45:49,Ecomm multi,mooz cartões,CE,Juazeiro No Norte,Malbec Gold Desodorante Colônia 100ml,4,195.9,78.0,Perfumaria Masculina,,CLI0104,Feminino,2000-05-06,,Entregue no Prazo,,Não
VND00021,2024-07-14 12:55:49,VD,outros meios de pagamento,SP,Sorocaba,Lily Creme Acetinado Hidratante Corporal 250g,4,149.9,45.0,Perfumaria Feminina,REV0035,,,,,,,
VND00022,2025-05-24 20:51:33,Ecomm mono,mooz cartões,PR,Guarapuava,Lily Creme Acetinado Hidratante Corporal 250g,4,149.9,45.0,Perfumaria Feminina,,CLI0041,Feminino,2006-12-09,,Entregue no Prazo,MAES15,Não
VND00022,2025-05-24 20:51:33,Ecomm mono,mooz cartões,PR,Guarapuava,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0041,Feminino,2006-12-09,,Entregue no Prazo,MAES15,Não
VND00023,2024-12-27 20:27:17,VD,mooz cartões,SC,Chapecó,Lily Lumière Eau de Parfum 75ml,2,329.9,145.0,Perfumaria Feminina,REV0047,,,,,,,
VND00023,2024-12-27 20:27:17,VD,mooz cartões,SC,Chapecó,Cuide-se Bem Loção Corporal Deleite 200ml,4,78.9,24.0,Cuidados e Corpo,REV0047,,,,,,,
VND00024,2024-03-09 19:41:23,Ecomm mono,mooz pix,MG,Poços de Caldas,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0017,Feminino,1962-11-08,Melhor creme da vida.,Entregue no Prazo,,Não
VND00025,2025-06-26 12:20:41,Ecomm mono,mooz cartões,SP,Campinas,Lily Creme Acetinado Hidratante Corporal 250g,3,149.9,45.0,Perfumaria Feminina,,CLI0014,Feminino,1984-02-18,Melhor creme da vida.,Entregue no Prazo,,Não
VND00025,2025-06-26 12:20:41,Ecomm mono,mooz cartões,SP,Campinas,Make B. Base Líquida Mate Salicylic 30g,3,109.9,38.0,Maquiagem e Skincare,,CLI0014,Feminino,1984-02-18,Melhor creme da vida.,Entregue no Prazo,,Não
VND00026,2025-05-17 12:08:54,VD,mooz pix,RJ,Petrópolis,Cuide-se Bem Loção Corporal Deleite 200ml,3,78.9,24.0,Cuidados e Corpo,REV0092,,,,,,,
VND00027,2025-12-27 12:34:18,Ecomm mono,mooz cartões,SP,Piracicaba,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,,CLI0364,Feminino,1990-08-25,Melhor creme da vida.,Entregue no Prazo,,Não
VND00028,2025-05-20 15:35:36,Ecomm mono,mooz pix,BA,Camaçari,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,,CLI0067,Feminino,1963-07-24,Amei o cheiro!,Entregue no Prazo,,Não
VND00028,2025-05-20 15:35:36,Ecomm mono,mooz pix,BA,Camaçari,Shampoo Match Escudo De Hidratação 300ml,1,47.9,14.0,Cabelos,,CLI0067,Feminino,1963-07-24,Amei o cheiro!,Entregue no Prazo,,Não
VND00029,2025-06-13 12:56:53,lojas,mooz cartões,GO,Aparecida de Goiânia,Lily Creme Acetinado Hidratante Corporal 250g,2,149.9,45.0,Perfumaria Feminina,FRQ017,,,,,,,
VND00030,2024-06-14 20:45:14,Ecomm mono,mooz pix,GO,Goiânia,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0129,Masculino,1962-12-14,,Entregue no Prazo,,Não
VND00031,2025-08-17 12:42:39,Ecomm mono,mooz cartões,RJ,Rio de Janeiro/RJ,Make B. Base Líquida Mate Salicylic 30g,3,109.9,38.0,Maquiagem e Skincare,,CLI0334,Não-binário,1960-05-18,,Entregue no Prazo,,Não
VND00031,2025-08-17 12:42:39,Ecomm mono,mooz cartões,RJ,Rio de Janeiro/RJ,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,,CLI0334,Não-binário,1960-05-18,,Entregue no Prazo,,Não
VND00032,2025-12-02 19:29:04,VD,mooz cartões,RJ,Angra dos Reis,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,REV0054,,,,,,,
VND00033,2026-05-31 12:25:08,Ecomm mono,mooz cartões,SP,Sorocaba,Malbec Gold Desodorante Colônia 100ml,4,195.9,78.0,Perfumaria Masculina,,CLI0124,Feminino,1967-05-06,,Entregue no Prazo,MAES15,Não
VND00034,2024-11-11 19:05:25,Ecomm multi,mooz cartões,RS,Caxias do Sul,Botik Sérum Alta Potência Ácido Hialurônico 30ml,3,169.9,59.0,Maquiagem e Skincare,,CLI0299,Feminino,1975-11-22,A entrega atrasou muito.,Entregue com Atraso,,Não
VND00034,2024-11-11 19:05:25,Ecomm multi,mooz cartões,RS,Caxias do Sul,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0299,Feminino,1975-11-22,A entrega atrasou muito.,Entregue com Atraso,,Não
VND00035,2024-05-01 19:06:25,Ecomm mono,mooz pix,SP,Santo André,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,,CLI0188,Masculino,1970-10-20,,Entregue no Prazo,,Não
VND00036,2025-06-15 19:38:57,lojas,mooz pix,MG,Poços de Caldas,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,FRQ011,,,,,,,
VND00037,2025-06-29 13:36:19,Ecomm multi,mooz cartões,MT,Várzea Grande,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0170,Feminino,1991-04-09,Melhor creme da vida.,Entregue no Prazo,,Não
VND00038,2026-01-08 19:30:10,Ecomm multi,mooz cartões,PI,Teresina,Floratta Red Desodorante Colônia 75ml,2,229.9,92.0,Perfumaria Feminina,,CLI0017,Feminino,1962-11-08,,Entregue no Prazo,QUERO10,Sim
VND00039,2025-12-23 20:13:35,Ecomm mono,mooz pix,SP,Santo André,Malbec Gold Desodorante Colônia 100ml,3,195.9,78.0,Perfumaria Masculina,,CLI0193,Feminino,1966-12-25,,Entregue com Atraso,,Não
VND00040,2025-12-22 19:45:31,Ecomm mono,mooz pix,PR,Ponta Grossa,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0287,Não-binário,1974-07-02,Melhor creme da vida.,Entregue no Prazo,,Não
VND00040,2025-12-22 19:45:31,Ecomm mono,mooz pix,PR,Ponta Grossa,Shampoo Match Escudo De Hidratação 300ml,2,47.9,14.0,Cabelos,,CLI0287,Não-binário,1974-07-02,Melhor creme da vida.,Entregue no Prazo,,Não
VND00041,2025-12-13 13:06:39,lojas,mooz cartões,SP,São Paulo,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,FRQ017,,,,,,,
VND00042,2024-12-04 19:06:43,lojas,mooz cartões,RS,Canoas,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,FRQ030,,,,,,,
VND00043,2024-10-21 19:41:03,VD,outros meios de pagamento,SP,Mogi das Cruzes,Floratta Red Desodorante Colônia 75ml,1,229.9,92.0,Perfumaria Feminina,REV0030,,,,,,,
VND00043,2024-10-21 19:41:03,VD,outros meios de pagamento,SP,Mogi das Cruzes,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,REV0030,,,,,,,
VND00044,2026-06-16 20:19:36,VD,mooz pix,RJ,Duque de Caxias,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,REV0059,,,,,,,
VND00044,2026-06-16 20:19:36,VD,mooz pix,RJ,Duque de Caxias,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,REV0059,,,,,,,
VND00045,2026-04-08 13:10:46,Ecomm multi,mooz pix,SP,Piracicaba,Make B. Base Líquida Mate Salicylic 30g,2,109.9,38.0,Maquiagem e Skincare,,CLI0096,Feminino,2002-09-10,,Entregue no Prazo,,Não
VND00045,2026-04-08 13:10:46,Ecomm multi,mooz pix,SP,Piracicaba,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0096,Feminino,2002-09-10,,Entregue no Prazo,,Não
VND00046,2025-06-11 20:25:42,VD,mooz cartões,BA,Feira de Santana,Malbec Gold Desodorante Colônia 100ml,1,195.9,78.0,Perfumaria Masculina,REV0062,,,,,,,
VND00047,2024-11-05 19:36:00,Ecomm mono,mooz pix,SP,Piracicaba,Make B. Base Líquida Mate Salicylic 30g,3,109.9,38.0,Maquiagem e Skincare,,CLI0121,Feminino,1985-06-09,,Entregue no Prazo,,Sim
VND00047,2024-11-05 19:36:00,Ecomm mono,mooz pix,SP,Piracicaba,Lily Lumière Eau de Parfum 75ml,3,329.9,145.0,Perfumaria Feminina,,CLI0121,Feminino,1985-06-09,,Entregue no Prazo,,Sim
VND00048,2024-08-14 13:08:30,lojas,mooz pix,RJ,Nova Friburgo,Cuide-se Bem Loção Corporal Deleite 200ml,4,78.9,24.0,Cuidados e Corpo,FRQ020,,,,,,,
VND00049,2025-06-22 08:45:23,VD,outros meios de pagamento,GO,Goiânia,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,REV0008,,,,,,,
VND00049,2025-06-22 08:45:23,VD,outros meios de pagamento,GO,Goiânia,Floratta Red Desodorante Colônia 75ml,3,229.9,92.0,Perfumaria Feminina,REV0008,,,,,,,
VND00050,2025-03-28 12:13:45,Ecomm multi,mooz cartões,SP,São Carlos,Floratta Red Desodorante Colônia 75ml,1,229.9,92.0,Perfumaria Feminina,,CLI0262,Masculino,2002-02-28,,Entregue no Prazo,,Não
VND00050,2025-03-28 12:13:45,Ecomm multi,mooz cartões,SP,São Carlos,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,,CLI0262,Masculino,2002-02-28,,Entregue no Prazo,,Não
VND00051,2025-08-15 12:27:22,VD,outros meios de pagamento,PR,Curitiba,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,REV0009,,,,,,,
VND00052,2024-05-01 12:34:25,lojas,outros meios de pagamento,MG,Ouro Preto,Floratta Red Desodorante Colônia 75ml,3,229.9,92.0,Perfumaria Feminina,FRQ027,,,,,,,
VND00053,2025-06-28 20:14:15,Ecomm multi,mooz pix,SP,Santos,Lily Creme Acetinado Hidratante Corporal 250g,4,149.9,45.0,Perfumaria Feminina,,CLI0142,Feminino,1992-08-26,,Entregue no Prazo,,Não
VND00054,2024-09-03 13:06:38,VD,mooz pix,SC,Criciúma,Floratta Red Desodorante Colônia 75ml,2,229.9,92.0,Perfumaria Feminina,REV0087,,,,,,,
VND00054,2024-09-03 13:06:38,VD,mooz pix,SC,Criciúma,Shampoo Match Escudo De Hidratação 300ml,2,47.9,14.0,Cabelos,REV0087,,,,,,,
VND00055,2024-02-27 20:18:14,Ecomm mono,mooz pix,ES,Vitória,Malbec Gold Desodorante Colônia 100ml,1,195.9,78.0,Perfumaria Masculina,,CLI0155,Masculino,1988-10-27,,Entregue no Prazo,,Sim
VND00056,2025-12-14 13:09:19,Ecomm multi,mooz cartões,SP,Bauru,Malbec Gold Desodorante Colônia 100ml,4,195.9,78.0,Perfumaria Masculina,,CLI0276,Feminino,1991-12-10,Amei o cheiro!,Entregue com Atraso,MAES15,Não
VND00057,2024-05-17 08:16:13,Ecomm mono,mooz cartões,PR,Paranaguá,Lily Lumière Eau de Parfum 75ml,1,329.9,145.0,Perfumaria Feminina,,CLI0190,Feminino,1979-10-22,,Entregue no Prazo,BOTAO20,Não
VND00057,2024-05-17 08:16:13,Ecomm mono,mooz cartões,PR,Paranaguá,Lily Creme Acetinado Hidratante Corporal 250g,2,149.9,45.0,Perfumaria Feminina,,CLI0190,Feminino,1979-10-22,,Entregue no Prazo,BOTAO20,Não
VND00058,2024-01-16 12:12:47,VD,outros meios de pagamento,RS,Passo Fundo,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,REV0062,,,,,,,
VND00059,2025-05-24 12:51:46,Ecomm multi,mooz pix,PR,Foz do Iguaçu,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,,CLI0190,Feminino,1979-10-22,,Entregue no Prazo,,Sim
VND00060,2024-12-11 22:52:31,Ecomm multi,mooz pix,MT,Cuiabá,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0376,Feminino,1987-08-08,Amei o cheiro!,Entregue com Atraso,,Não
VND00060,2024-12-11 22:52:31,Ecomm multi,mooz pix,MT,Cuiabá,Make B. Base Líquida Mate Salicylic 30g,1,109.9,38.0,Maquiagem e Skincare,,CLI0376,Feminino,1987-08-08,Amei o cheiro!,Entregue com Atraso,,Não
VND00061,2025-11-15 13:00:26,lojas,outros meios de pagamento,PB,João Pessoa,Botik Sérum Alta Potência Ácido Hialurônico 30ml,2,169.9,59.0,Maquiagem e Skincare,FRQ003,,,,,,,
VND00061,2025-11-15 13:00:26,lojas,outros meios de pagamento,PB,João Pessoa,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,FRQ003,,,,,,,
VND00062,2024-01-17 13:35:26,VD,mooz cartões,RJ,Macaé,Make B. Base Líquida Mate Salicylic 30g,3,109.9,38.0,Maquiagem e Skincare,REV0093,,,,,,,
VND00063,2024-07-02 13:06:33,lojas,mooz cartões,SP,Ribeirão Preto,Lily Lumière Eau de Parfum 75ml,3,329.9,145.0,Perfumaria Feminina,FRQ020,,,,,,,
VND00063,2024-07-02 13:06:33,lojas,mooz cartões,SP,Ribeirão Preto,Make B. Base Líquida Mate Salicylic 30g,3,109.9,38.0,Maquiagem e Skincare,FRQ020,,,,,,,
VND00064,2025-12-14 20:43:52,VD,outros meios de pagamento,ES,Serra,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,REV0098,,,,,,,
VND00065,2025-05-02 19:00:44,lojas,mooz cartões,RO,Porto Velho,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,FRQ028,,,,,,,
VND00066,2024-08-23 19:55:44,Ecomm multi,mooz pix,MA,São Luís,Floratta Red Desodorante Colônia 75ml,2,229.9,92.0,Perfumaria Feminina,,CLI0039,Masculino,2001-06-04,,Entregue no Prazo,,Não
VND00066,2024-08-23 19:55:44,Ecomm multi,mooz pix,MA,São Luís,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,,CLI0039,Masculino,2001-06-04,,Entregue no Prazo,,Não
VND00067,2025-07-31 13:53:54,Ecomm multi,mooz pix,SP,Mauá,Cuide-se Bem Loção Corporal Deleite 200ml,3,78.9,24.0,Cuidados e Corpo,,CLI0387,Masculino,1966-10-17,Melhor creme da vida.,Entregue no Prazo,,Não
VND00067,2025-07-31 13:53:54,Ecomm multi,mooz pix,SP,Mauá,Make B. Base Líquida Mate Salicylic 30g,1,109.9,38.0,Maquiagem e Skincare,,CLI0387,Masculino,1966-10-17,Melhor creme da vida.,Entregue no Prazo,,Não
VND00068,2025-10-11 19:28:31,lojas,mooz pix,MG,Divinópolis,Cuide-se Bem Loção Corporal Deleite 200ml,4,78.9,24.0,Cuidados e Corpo,FRQ013,,,,,,,
VND00069,2025-09-25 19:15:45,VD,mooz cartões,RS,Gramado,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,REV0020,,,,,,,
VND00070,2024-11-20 08:05:00,Ecomm mono,mooz pix,SP,Sorocaba,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0390,Masculino,1967-05-19,A entrega atrasou muito.,Entregue no Prazo,,Não
VND00070,2024-11-20 08:05:00,Ecomm mono,mooz pix,SP,Sorocaba,Lily Lumière Eau de Parfum 75ml,1,329.9,145.0,Perfumaria Feminina,,CLI0390,Masculino,1967-05-19,A entrega atrasou muito.,Entregue no Prazo,,Não
VND00071,2025-01-29 12:26:24,VD,outros meios de pagamento,RJ,Macaé,Lily Lumière Eau de Parfum 75ml,4,329.9,145.0,Perfumaria Feminina,REV0032,,,,,,,
VND00071,2025-01-29 12:26:24,VD,outros meios de pagamento,RJ,Macaé,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,REV0032,,,,,,,
VND00072,2024-03-05 19:17:26,Ecomm mono,mooz pix,SP,Bauru,Shampoo Match Escudo De Hidratação 300ml,2,47.9,14.0,Cabelos,,CLI0040,Masculino,1987-03-15,Chegou super rápido.,Entregue no Prazo,BOTAO20,Sim
VND00073,2024-05-18 13:25:21,Ecomm multi,mooz pix,SP,São José dos Campos,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,,CLI0172,Masculino,2002-11-26,,Entregue no Prazo,,Não
VND00073,2024-05-18 13:25:21,Ecomm multi,mooz pix,SP,São José dos Campos,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0172,Masculino,2002-11-26,,Entregue no Prazo,,Não
VND00074,2024-11-29 19:52:50,Ecomm multi,mooz pix,SP,Campinas,Lily Lumière Eau de Parfum 75ml,2,329.9,145.0,Perfumaria Feminina,,CLI0289,Não-binário,1984-11-26,Suporte não responde.,Entregue com Atraso,BOTAO20,Sim
VND00075,2025-11-20 19:40:19,lojas,mooz pix,PR,Maringá,Cuide-se Bem Loção Corporal Deleite 200ml,1,78.9,24.0,Cuidados e Corpo,FRQ023,,,,,,,
VND00076,2025-07-10 22:23:44,VD,mooz cartões,MG,Ouro Preto,Lily Creme Acetinado Hidratante Corporal 250g,1,149.9,45.0,Perfumaria Feminina,REV0085,,,,,,,
VND00076,2025-07-10 22:23:44,VD,mooz cartões,MG,Ouro Preto,Cuide-se Bem Loção Corporal Deleite 200ml,4,78.9,24.0,Cuidados e Corpo,REV0085,,,,,,,
VND00077,2025-03-16 13:06:16,lojas,outros meios de pagamento,RJ,Nova Friburgo,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,FRQ017,,,,,,,
VND00077,2025-03-16 13:06:16,lojas,outros meios de pagamento,RJ,Nova Friburgo,Botik Sérum Alta Potência Ácido Hialurônico 30ml,2,169.9,59.0,Maquiagem e Skincare,FRQ017,,,,,,,
VND00078,2024-03-28 20:46:09,Ecomm mono,mooz pix,RS,Gramado,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0234,Feminino,1969-03-26,,Entregue no Prazo,,Não
VND00079,2024-11-03 12:45:07,VD,mooz pix,SP,Jundiaí,Lily Lumière Eau de Parfum 75ml,2,329.9,145.0,Perfumaria Feminina,REV0014,,,,,,,
VND00079,2024-11-03 12:45:07,VD,mooz pix,SP,Jundiaí,Cuide-se Bem Loção Corporal Deleite 200ml,3,78.9,24.0,Cuidados e Corpo,REV0014,,,,,,,
VND00080,2025-04-18 20:25:40,lojas,mooz cartões,SP,Jundiaí,Botik Sérum Alta Potência Ácido Hialurônico 30ml,2,169.9,59.0,Maquiagem e Skincare,FRQ022,,,,,,,
VND00081,2025-12-22 20:17:48,VD,outros meios de pagamento,MG,Uberlândia,Floratta Red Desodorante Colônia 75ml,2,229.9,92.0,Perfumaria Feminina,REV0069,,,,,,,
VND00082,2025-05-16 13:40:20,Ecomm multi,mooz pix,SP,Mogi das Cruzes,Cuide-se Bem Loção Corporal Deleite 200ml,1,78.9,24.0,Cuidados e Corpo,,CLI0059,Feminino,1964-01-28,,Entregue com Atraso,,Não
VND00083,2024-11-16 12:19:07,lojas,mooz pix,SP,Piracicaba,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,FRQ005,,,,,,,
VND00083,2024-11-16 12:19:07,lojas,mooz pix,SP,Piracicaba,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,FRQ005,,,,,,,
VND00084,2025-05-16 20:11:20,Ecomm multi,mooz cartões,MG,Montes Claros,Lily Creme Acetinado Hidratante Corporal 250g,4,149.9,45.0,Perfumaria Feminina,,CLI0005,Feminino,1965-04-08,,Entregue com Atraso,,Sim
VND00085,2026-05-10 19:10:05,VD,mooz cartões,SP,Osasco,Lily Creme Acetinado Hidratante Corporal 250g,3,149.9,45.0,Perfumaria Feminina,REV0005,,,,,,,
VND00086,2025-08-09 13:49:34,Ecomm mono,mooz cartões,PR,Paranaguá,Malbec Desodorante Colônia 100ml,1,209.9,84.0,Perfumaria Masculina,,CLI0280,Feminino,1964-05-25,,Entregue no Prazo,BOTAO20,Sim
VND00087,2024-12-22 13:05:28,VD,mooz cartões,PR,Foz do Iguaçu,Lily Lumière Eau de Parfum 75ml,4,329.9,145.0,Perfumaria Feminina,REV0095,,,,,,,
VND00087,2024-12-22 13:05:28,VD,mooz cartões,PR,Foz do Iguaçu,Make B. Base Líquida Mate Salicylic 30g,2,109.9,38.0,Maquiagem e Skincare,REV0095,,,,,,,
VND00088,2026-04-04 20:22:34,Ecomm mono,mooz cartões,SP,Sorocaba,Floratta Red Desodorante Colônia 75ml,2,229.9,92.0,Perfumaria Feminina,,CLI0361,Feminino,1997-06-01,Chegou super rápido.,Entregue no Prazo,BOTAO20,Sim
