Ano,Mês,Estado,Meta_Faturamento_Mensal
2024,12,AC,84.58
2024,12,AP,233.17
2024,12,RR,348.27
2025,1,SP,11215.21
2025,1,RJ,4838.7
2025,1,MG,2606.84
2025,1,ES,688.05
2025,1,PR,1020.19
2025,1,RS,262.18
2025,1,SC,277.65
2025,1,BA,1359.33
2025,1,PE,1337.11
2025,1,CE,1049.5
2025,1,MA,1043.3
2025,1,GO,344.53
2025,1,MT,121.43
2025,1,MS,2118.62
2025,1,DF,143.27
2025,1,AM,310.03
2025,1,PA,303.83
2025,1,PB,262.38
2025,1,RN,115.47
2025,1,AL,352.16
2025,1,SE,271.27
2025,1,PI,125.01
2025,1,RO,197.86
2025,1,TO,122.05
2025,1,AC,236.83
2025,1,AP,254.06
2025,1,RR,298.89
2025,2,SP,9137.76
2025,2,RJ,4510.17
2025,2,MG,3244.84
2025,2,ES,2071.46
2025,2,PR,4968.4
2025,2,RS,324.39
2025,2,SC,2497.23
2025,2,BA,1443.05
2025,2,PE,2368.0
2025,2,CE,1345.37
2025,2,MA,129.6
2025,2,GO,1096.18
2025,2,MT,337.13
2025,2,MS,200.14
2025,2,DF,1302.34
2025,2,AM,1235.89
2025,2,PA,122.56
2025,2,PB,184.91
2025,2,RN,754.86
2025,2,AL,169.31
2025,2,SE,254.55
2025,2,PI,270.74
2025,2,RO,164.24
2025,2,TO,127.13
2025,2,AC,169.54
2025,2,AP,295.61
2025,2,RR,264.06
2025,3,SP,14388.42
2025,3,RJ,3347.77
2025,3,MG,3518.37
2025,3,ES,120.25
2025,3,PR,2548.91
2025,3,RS,136.27
2025,3,SC,2952.62
2025,3,BA,782.97
2025,3,PE,1495.78
2025,3,CE,2306.37
2025,3,MA,240.33
2025,3,GO,136.09
2025,3,MT,684.96
2025,3,MS,283.02
2025,3,DF,280.55
2025,3,AM,588.94
2025,3,PA,147.6
2025,3,PB,371.55
2025,3,RN,193.61
2025,3,AL,167.87
2025,3,SE,179.57
2025,3,PI,115.2
2025,3,RO,174.93
2025,3,TO,284.02
2025,3,AC,281.19
2025,3,AP,217.32
2025,3,RR,281.01
2025,4,SP,11610.63
2025,4,RJ,7482.75
2025,4,MG,7449.73
2025,4,ES,1179.5
2025,4,PR,6892.35
2025,4,RS,1282.26
2025,4,SC,2178.0
2025,4,BA,1789.18
2025,4,PE,158.06
2025,4,CE,824.75
2025,4,MA,172.78
2025,4,GO,243.96
2025,4,MT,261.23
2025,4,MS,101.55
2025,4,DF,876.85
2025,4,AM,274.05
2025,4,PA,325.36
2025,4,PB,159.51
2025,4,RN,170.41
2025,4,AL,245.21
2025,4,SE,125.47
2025,4,PI,248.27
2025,4,RO,287.38
2025,4,TO,156.75
2025,4,AC,209.54
2025,4,AP,251.7
2025,4,RR,209.11
2025,5,SP,25617.41
2025,5,RJ,11896.37
2025,5,MG,6178.55
2025,5,ES,2152.25
2025,5,PR,8012.29
2025,5,RS,4061.91
2025,5,SC,2945.85
2025,5,BA,1326.99
2025,5,PE,2103.44
2025,5,CE,2561.12
2025,5,MA,359.25
2025,5,GO,1001.83
2025,5,MT,2135.56
2025,5,MS,194.71
2025,5,DF,781.94
2025,5,AM,1577.65
2025,5,PA,539.1
2025,5,PB,193.44
2025,5,RN,344.26
2025,5,AL,1164.53
2025,5,SE,218.84
2025,5,PI,108.56
2025,5,RO,665.29
2025,5,TO,103.88
2025,5,AC,708.96
2025,5,AP,238.1
2025,5,RR,144.69
2025,6,SP,16561.94
2025,6,RJ,6584.09
2025,6,MG,4495.57
2025,6,ES,1492.38
2025,6,PR,6163.07
2025,6,RS,1288.4
2025,6,SC,1614.62
2025,6,BA,4306.34
2025,6,PE,2365.67
2025,6,CE,3866.12
2025,6,MA,857.21
2025,6,GO,1573.94
2025,6,MT,907.56
2025,6,MS,188.89
2025,6,DF,1164.27
2025,6,AM,235.31
2025,6,PA,280.52
2025,6,PB,149.14
2025,6,RN,177.84
2025,6,AL,200.5
2025,6,SE,136.36
2025,6,PI,220.81
2025,6,RO,179.43
2025,6,TO,825.02
2025,6,AC,182.39
2025,6,AP,285.48
2025,6,RR,138.76
2025,7,SP,14556.14
2025,7,RJ,1527.65
2025,7,MG,2998.78
2025,7,ES,1248.61
2025,7,PR,2076.8
2025,7,RS,149.67
2025,7,SC,1298.77
2025,7,BA,399.81
2025,7,PE,143.64
2025,7,CE,339.86
2025,7,MA,165.86
2025,7,GO,257.76
2025,7,MT,417.67
2025,7,MS,101.83
2025,7,DF,116.16
2025,7,AM,241.75
2025,7,PA,265.81
2025,7,PB,222.93
2025,7,RN,191.67
2025,7,AL,321.08
2025,7,SE,271.54
2025,7,PI,277.96
2025,7,RO,187.53
2025,7,TO,137.99
2025,7,AC,214.0
2025,7,AP,283.5
2025,7,RR,118.15
2025,8,SP,14957.23
2025,8,RJ,7134.31
2025,8,MG,3800.55
2025,8,ES,3045.0
2025,8,PR,5080.59
2025,8,RS,2735.13
2025,8,SC,2163.38
2025,8,BA,1256.76
2025,8,PE,221.18
2025,8,CE,394.5
2025,8,MA,693.64
2025,8,GO,199.19
2025,8,MT,2178.68
2025,8,MS,930.7
2025,8,DF,1345.86
2025,8,AM,233.18
2025,8,PA,80.29
2025,8,PB,185.88
2025,8,RN,217.68
2025,8,AL,114.09
2025,8,SE,262.35
2025,8,PI,190.82
2025,8,RO,224.12
2025,8,TO,167.29
2025,8,AC,287.38
2025,8,AP,122.52
2025,8,RR,335.81
2025,9,SP,20160.75
2025,9,RJ,2738.46
2025,9,MG,2586.33
2025,9,ES,283.17
2025,9,PR,3923.11
2025,9,RS,2887.0
2025,9,SC,2112.98
2025,9,BA,1515.01
2025,9,PE,864.46
2025,9,CE,1574.25
2025,9,MA,259.09
2025,9,GO,1015.9
2025,9,MT,368.68
2025,9,MS,368.48
2025,9,DF,497.24
2025,9,AM,215.29
2025,9,PA,895.81
2025,9,PB,671.34
2025,9,RN,113.37
2025,9,AL,458.05
2025,9,SE,113.61
2025,9,PI,248.85
2025,9,RO,218.56
2025,9,TO,127.58
2025,9,AC,245.29
2025,9,AP,324.4
2025,9,RR,248.01
2025,10,SP,12886.26
2025,10,RJ,3782.37
2025,10,MG,1649.49
2025,10,ES,842.11
2025,10,PR,4015.44
2025,10,RS,746.64
2025,10,SC,3857.85
2025,10,BA,1747.93
2025,10,PE,2598.11
2025,10,CE,1380.61
2025,10,MA,195.33
2025,10,GO,141.52
2025,10,MT,154.28
2025,10,MS,720.88
2025,10,DF,163.47
2025,10,AM,248.44
2025,10,PA,499.65
2025,10,PB,277.32
2025,10,RN,147.65
2025,10,AL,164.97
2025,10,SE,220.24
2025,10,PI,122.9
2025,10,RO,204.1
2025,10,TO,184.45
2025,10,AC,193.25
2025,10,AP,223.02
2025,10,RR,298.96
2025,11,SP,29686.18
2025,11,RJ,8435.3
2025,11,MG,9837.49
2025,11,ES,2123.92
2025,11,PR,3684.0
2025,11,RS,5082.58
2025,11,SC,6136.77
2025,11,BA,75.14
2025,11,PE,3073.89
2025,11,CE,2645.19
2025,11,MA,1009.97
2025,11,GO,1487.21
2025,11,MT,2234.53
2025,11,MS,235.2
2025,11,DF,1182.67
2025,11,AM,412.91
2025,11,PA,148.06
2025,11,PB,1681.29
2025,11,RN,174.02
2025,11,AL,197.19
2025,11,SE,336.91
2025,11,PI,337.04
2025,11,RO,208.97
2025,11,TO,287.44
2025,11,AC,262.98
2025,11,AP,129.32
2025,11,RR,111.35
2025,12,SP,40583.52
2025,12,RJ,12259.79
2025,12,MG,9911.43
2025,12,ES,2248.0
2025,12,PR,8181.99
2025,12,RS,2303.25
2025,12,SC,7827.48
2025,12,BA,6976.09
2025,12,PE,1141.33
2025,12,CE,266.29
2025,12,MA,627.54
2025,12,GO,2541.81
2025,12,MT,1717.48
2025,12,MS,719.83
2025,12,DF,3490.32
2025,12,AM,210.45
2025,12,PA,4688.49
2025,12,PB,395.73
2025,12,RN,218.47
2025,12,AL,483.13
2025,12,SE,636.14
2025,12,PI,187.87
2025,12,RO,559.31
2025,12,TO,369.19
2025,12,AC,126.48
2025,12,AP,233.13
2025,12,RR,160.05
2026,1,SP,17075.33
2026,1,RJ,1400.12
2026,1,MG,1070.05
2026,1,ES,2935.06
2026,1,PR,1767.95
2026,1,RS,263.28
2026,1,SC,1187.08
2026,1,BA,4344.4
2026,1,PE,1990.18
2026,1,CE,130.99
2026,1,MA,1385.62
2026,1,GO,1262.12
2026,1,MT,418.96
2026,1,MS,176.64
2026,1,DF,1870.52
2026,1,AM,300.38
2026,1,PA,1045.16
2026,1,PB,235.94
2026,1,RN,169.52
2026,1,AL,191.98
2026,1,SE,142.89
2026,1,PI,431.24
2026,1,RO,253.14
2026,1,TO,140.93
2026,1,AC,287.68
2026,1,AP,167.99
2026,1,RR,209.98
2026,2,SP,6217.49
2026,2,RJ,2386.35
2026,2,MG,532.36
2026,2,ES,754.42
2026,2,PR,506.4
2026,2,RS,577.82
2026,2,SC,1551.89
2026,2,BA,136.21
2026,2,PE,87.67
2026,2,CE,1099.5
2026,2,MA,270.61
2026,2,GO,237.87
2026,2,MT,117.13
2026,2,MS,306.74
2026,2,DF,163.82
2026,2,AM,124.63
2026,2,PA,477.95
2026,2,PB,250.6
2026,2,RN,219.62
2026,2,AL,116.02
2026,2,SE,283.46
2026,2,PI,100.98
2026,2,RO,269.22
2026,2,TO,228.95
2026,2,AC,199.01
2026,2,AP,555.27
2026,2,RR,203.18
2026,3,SP,10427.11
2026,3,RJ,647.79
2026,3,MG,1890.05
2026,3,ES,128.25
2026,3,PR,799.47
2026,3,RS,1475.64
2026,3,SC,1528.46
2026,3,BA,399.81
2026,3,PE,2207.89
2026,3,CE,549.5
2026,3,MA,185.56
2026,3,GO,1144.58
2026,3,MT,144.32
2026,3,MS,230.13
2026,3,DF,458.71
2026,3,AM,407.65
2026,3,PA,296.9
2026,3,PB,145.86
2026,3,RN,275.44
2026,3,AL,188.89
2026,3,SE,684.44
2026,3,PI,245.26
2026,3,RO,177.02
2026,3,TO,298.72
2026,3,AC,306.84
2026,3,AP,149.62
2026,3,RR,118.74
2026,4,SP,13656.78
2026,4,RJ,2146.61
2026,4,MG,1477.76
2026,4,ES,2026.69
2026,4,PR,1999.2
2026,4,RS,259.23
2026,4,SC,3300.28
2026,4,BA,1504.19
2026,4,PE,817.42
2026,4,CE,3206.32
2026,4,MA,125.82
2026,4,GO,650.54
2026,4,MT,252.47
2026,4,MS,2515.83
2026,4,DF,309.64
2026,4,AM,116.95
2026,4,PA,145.54
2026,4,PB,288.81
2026,4,RN,233.67
2026,4,AL,190.84
2026,4,SE,221.65
2026,4,PI,274.23
2026,4,RO,191.61
2026,4,TO,203.06
2026,4,AC,254.64
2026,4,AP,170.19
2026,4,RR,120.61
2026,5,SP,28135.61
2026,5,RJ,5829.69
2026,5,MG,7221.47
2026,5,ES,1156.08
2026,5,PR,13960.72
2026,5,RS,2239.24
2026,5,SC,3750.4
2026,5,BA,1080.95
2026,5,PE,466.44
2026,5,CE,1949.0
2026,5,MA,133.49
2026,5,GO,2464.55
2026,5,MT,2746.17
2026,5,MS,229.43
2026,5,DF,947.19
2026,5,AM,389.97
2026,5,PA,154.57
2026,5,PB,202.84
2026,5,RN,238.33
2026,5,AL,585.37
2026,5,SE,175.41
2026,5,PI,231.43
2026,5,RO,341.14
2026,5,TO,189.19
2026,5,AC,259.16
2026,5,AP,108.8
2026,5,RR,129.98
2026,6,SP,19716.15
2026,6,RJ,4469.85
2026,6,MG,5693.41
2026,6,ES,2262.17
2026,6,PR,2902.13
2026,6,RS,1888.18
2026,6,SC,1961.85
2026,6,BA,142.76
2026,6,PE,366.33
2026,6,CE,1811.88
2026,6,MA,227.61
2026,6,GO,226.66
2026,6,MT,160.14
2026,6,MS,110.76
2026,6,DF,266.63
2026,6,AM,2150.67
2026,6,PA,2255.7
2026,6,PB,715.03
2026,6,RN,413.55
2026,6,AL,1002.86
2026,6,SE,258.32
2026,6,PI,618.03
2026,6,RO,118.24
2026,6,TO,1284.43
2026,6,AC,327.62
2026,6,AP,114.73
2026,6,RR,134.11
